rbr;komentar;predikcija;P_pred;P_NEUTRAL;P_ZA-VLAST;P_PROTIV-VLASTI
1;Pumpaj!;PROTIV-VLASTI;0.9427;0.0345;0.0228;0.9427
2;Ziveo Vucic!;ZA-VLAST;0.9813;0.0126;0.9813;0.0061
3;Ne znam sta da mislim.;NEUTRAL;0.8741;0.8741;0.0536;0.0724
4;Bravo za studente!;PROTIV-VLASTI;0.9266;0.0379;0.0356;0.9266
5;Blokade su lose.;ZA-VLAST;0.9738;0.0187;0.9738;0.0075
6;Lepa slika.;NEUTRAL;0.8769;0.8769;0.0522;0.0708
7;Ziveo Aleksandar Vucic, jedini koji radi za Srbiju i narod!;ZA-VLAST;0.9819;0.0126;0.9819;0.0055
8;Stop blokadama, hocemo normalan zivot i da djeca idu u skole.;ZA-VLAST;0.9676;0.0249;0.9676;0.0075
9;Ovi studenti su navuceni, ne znaju sta rade, mrs na predavanja.;ZA-VLAST;0.9723;0.0141;0.9723;0.0136
10;Sistematsko unistavanje privrede i obrazovanja, dosta vise ove vlasti.;PROTIV-VLASTI;0.9304;0.0258;0.0438;0.9304
11;Dokle ce vise da se sprda sa narodom ovaj rezim i njihovi botovi?;ZA-VLAST;0.7409;0.0423;0.7409;0.2168
12;Studenti su jedini koji imaju hrabrosti da stanu na put korupciji i lopovluku.;PROTIV-VLASTI;0.5685;0.2750;0.1564;0.5685
13;Gde mogu da pogledam celu emisiju od juce navece?;NEUTRAL;0.8772;0.8772;0.0627;0.0601
14;Bila sam tamo, atmosfera je bila cudna, ne znam sta da mislim o svemu.;NEUTRAL;0.8729;0.8729;0.0576;0.0695
15;Koja je svrha blokiranja vise dana zaredom kad obicni ljudi kasne na posao i gube sate, a opet razumem da studenti zele da se cuje njihov glas na neki drugi nacin.;ZA-VLAST;0.8735;0.1103;0.8735;0.0163
